date,pitcher_id,pitcher_handedness,player_height,arm_slot,back_hip_flexion_at_foot_plant,back_hip_flexion_at_mer,back_hip_flexion_at_ball_release,back_knee_flexion_at_foot_plant,back_knee_flexion_at_mer,back_knee_flexion_at_ball_release,back_leg_external_rotation_velo_max,center_of_mass_velo_max,glove_elbow_flexion_at_foot_plant,glove_elbow_flexion_at_mer,glove_elbow_flexion_at_ball_release,glove_shoulder_abduction_at_foot_plant,glove_shoulder_abduction_at_mer,glove_shoulder_abduction_at_ball_release,glove_shoulder_horizontal_abduction_at_foot_plant,glove_shoulder_horizontal_abduction_at_mer,glove_shoulder_horizontal_abduction_at_ball_release,glove_shoulder_external_rotation_at_foot_plant,glove_shoulder_external_rotation_at_mer,glove_shoulder_external_rotation_at_ball_release,hip_shoulder_separation_at_foot_plant,hip_shoulder_separation_at_ball_release,hip_shoulder_separation_max,lead_hip_flexion_at_foot_plant,lead_hip_flexion_at_mer,lead_hip_flexion_at_ball_release,lead_knee_extension_velo_max,lead_knee_flexion_at_foot_plant,lead_knee_flexion_at_mer,lead_knee_flexion_at_ball_release,lead_leg_internal_rotation_velo_max,pelvis_rotation_at_foot_plant,pelvis_rotation_at_mer,pelvis_rotation_at_ball_release,pelvis_rotation_velo_max,stride_angle,stride_length,throw_elbow_extension_velo_max,throw_elbow_flexion_at_foot_plant,throw_elbow_flexion_at_mer,throw_elbow_flexion_at_ball_release,throw_shoulder_abduction_at_foot_plant,throw_shoulder_abduction_at_mer,throw_shoulder_abduction_at_ball_release,throw_shoulder_horizontal_abduction_at_foot_plant,throw_shoulder_horizontal_abduction_at_mer,throw_shoulder_horizontal_abduction_at_ball_release,throw_shoulder_external_rotation_at_foot_plant,throw_shoulder_external_rotation_at_ball_release,throw_shoulder_external_rotation_max,throw_shoulder_internal_rotation_velo_max,torso_forward_bend_at_foot_plant,torso_forward_bend_at_mer,torso_forward_bend_at_ball_release,torso_rotation_at_foot_plant,torso_rotation_at_mer,torso_rotation_at_ball_release,torso_rotation_velo_max,torso_sidebend_at_foot_plant,torso_sidebend_at_mer,torso_sidebend_at_ball_release
6/2/25,235,l,6.14,12.95455207,-14.7756952,1.000818935,11.96047711,41.91683732,57.6840424,64.4130549,216.8911013,9.68,95.43081118,97.98516112,97.2296981,55.784,51.158,54.937,29.063,-29.848,-44.928,-21.512,5.817,9.092,27.92077518,2.195149631,51.04289865,82.14527412,98.13023769,101.748856,296.8214006,47.28451095,48.52058761,44.68766137,-54.59324554,52.24436802,77.82675489,84.83207797,395.4150727,-1.493732161,5.502159646,1456.305458,105.642447,83.87575654,51.06907001,79.07378493,86.06906915,86.56187396,29.73348221,-19.77163352,-32.86794122,88.28920579,171.6747984,182.5619552,3103.696978,8.893057461,30.66851582,39.67342182,25.05032663,78.47481282,95.93469867,842.9449205,6.719334653,19.13130529,19.61699481
7/12/25,64,r,5.86,31.36599659,-13.46603409,-4.798040314,-2.657300161,44.70057554,49.89042931,50.9706385,393.1340226,10.285,106.4480466,69.42649553,68.89768225,73.195,38.933,37.7,-4.78,-46.713,-47.303,8.792,28.756,27.393,29.48585907,-13.6877355,61.08144585,55.7251379,69.88507775,70.28172819,436.8980458,30.0912667,13.66452765,11.49679021,-410.0933493,40.94294645,73.96912941,75.03050094,525.6290171,-4.347827157,5.222524853,1566.366767,63.58883074,59.66049674,52.00707064,81.97627846,96.28240904,99.75362208,62.79154412,-5.555194563,-10.20613947,55.24850518,186.9786093,188.4899352,3694.441789,1.767136539,32.3670354,34.18417895,11.4573437,98.45443902,100.7870345,1171.375483,-1.225236847,17.94856776,17.51638505
6/5/25,266,r,6.19,61.1248302,-34.64623264,-0.43857624,3.224591226,30.39541481,43.59077204,44.53344947,220.1250704,9.268,57.72013929,77.05371263,79.28092792,61.018,44.509,44.238,36.024,-40.94,-42.014,-44.088,11.77,13.46,33.75024496,3.442452155,39.54183467,-305.4816484,-274.6273452,-272.7975639,424.1919517,53.63319186,41.35774934,38.9677523,-177.0278307,36.88369658,80.12527821,81.59644163,504.8610588,-15.71765856,5.572781079,1415.903747,98.0361187,39.85968234,31.52331823,81.9507458,133.7039464,135.4450634,44.68755647,1.821071854,-2.545533001,48.63023586,206.4434049,209.6807002,6376.772556,-2.732501541,31.28071134,33.94890056,3.419525785,93.47608753,96.12728416,1103.239816,-10.2221887,21.63628525,21.55782083
8/13/25,267,r,5.81,14.66844937,-12.83009783,-14.17441221,-10.55841035,39.87155832,45.66501952,47.85374203,608.2759821,9.358,80.49278828,100.8129371,100.7360149,70.942,43.876,41.757,3.808,-15.996,-17.41,-20.908,-4.696,-6.739,31.45269925,-9.302806359,46.02762501,44.09587434,65.53412235,63.46188554,845.0932161,33.17441334,29.35902941,20.18478091,-504.3116924,37.78015428,87.17135016,90.16860246,540.4134356,-6.600575496,4.765861665,1864.292351,96.5301651,59.66367208,38.11510525,93.69031599,86.32430261,87.63938849,56.84922329,-6.195244962,-12.18413547,48.0558472,176.1625358,184.11365,4375.5087,6.079860526,20.70422168,23.56798089,5.634929431,97.78707615,106.9512047,967.7683008,-6.305006692,15.18976582,14.75910934
5/29/25,262,r,6.14,-72.8542798,0.040339452,10.62793169,0.830558079,45.02878157,49.69369042,55.29578045,568.7939567,10.252,99.83481516,93.15202771,72.8304255,76.6,44.06,,34.739,-43.304,,-40.638,-18.138,,38.19571635,-47.49880597,38.52033846,71.63191625,96.5699625,51.92486217,743.6477266,49.77995396,27.03385708,13.77866282,-208.0528087,25.5579775,79.38862596,147.0752292,541.3519363,-2.879613276,5.539061608,2168.13283,120.8554409,47.47133863,43.82860397,90.16142308,104.9360383,32.68171038,46.98110547,14.56628357,-80.98170288,377.7264105,419.945965,586.9734615,5942.693783,9.003253755,45.03311252,48.05270847,-11.94449364,99.09765412,175.2456556,1038.929463,2.398080955,20.25013506,-9.385586914
6/16/25,161,l,6.02,29.71555742,-29.09311728,0.569542094,6.868843221,42.78982578,77.10208707,81.01880731,315.292957,10.676,97.19506344,97.25816266,96.57471372,54.008,45.548,45.945,41.077,-34.671,-43.468,-27.283,17.181,21.441,33.20357938,-2.213389041,47.92739333,71.79654506,90.90607022,92.84294495,229.6948131,55.37657298,64.36185761,64.51148446,38.87677778,47.3008954,80.04422219,83.15601556,505.6599578,-7.571171733,5.681308942,2221.941316,109.0988588,67.48380959,36.96120114,86.7029582,91.45561045,98.00775565,56.29111149,-17.78384046,-21.61116435,68.18547019,163.6919796,176.145472,4784.129356,2.875245999,21.48221403,25.15295041,13.27501914,86.55314576,94.57041539,816.0695444,-9.433074407,21.42312412,21.77132743
5/27/25,108,r,5.94,39.0187703,-26.99958285,-12.42463621,-3.408752424,41.47975171,42.95106251,44.23904278,184.7194363,9.604,74.61720784,76.6242866,84.98285526,53.91,44.645,47.366,26.543,-33.758,-35.885,-9.449,45.456,44.217,19.71800843,-15.92777768,25.10013888,69.30261495,87.66580103,91.08839352,340.2650879,56.59136719,48.4170241,43.61367609,-34.63850936,41.29908518,73.79610793,80.00949668,715.014685,-9.608328171,5.448653827,1626.935325,71.91469635,55.59015044,24.10668518,84.07094415,104.4313975,107.2008937,38.1994292,3.34367723,-5.991074026,113.34951,164.5630452,182.8703649,3656.788321,-2.743430553,26.63275857,36.07372432,21.7750807,93.08188211,106.8555498,946.6359906,-3.9194042,21.0076373,20.72086484
7/1/25,274,l,6.35,31.7856043,-18.46773103,5.44710978,5.810932583,34.26325939,59.03968127,59.38759868,450.7891482,7.966,79.15339618,61.50594326,61.04042073,59.559,29.901,30.041,53.272,-10.152,-11.71,-46.673,7.336,8.208,34.74695791,-3.545415463,52.76778991,63.17877706,82.29721959,82.30083986,377.5427451,57.70331203,53.30706977,53.02260857,40.46168714,40.65832592,78.79537394,79.12426211,383.2351132,-14.72544937,4.68684427,3318.893411,128.2737573,73.98365885,70.68900074,95.26312431,119.0804182,117.4462509,55.16129203,36.45304118,30.68530178,32.49851163,139.0595447,131.1124442,2670.449805,-1.723249213,32.37668487,32.73697431,7.828768235,93.72283064,94.60900416,1020.160531,17.20765393,24.71951777,24.5440896
7/18/25,187,r,5.92,39.77784126,-22.83880502,2.033615866,11.69246232,37.31396035,53.95179988,58.41642195,157.5400565,11.118,108.2241796,101.9282145,102.9482335,49.104,36.174,35.81,0.699,-36.88,-48.057,-19.365,13.418,26.267,33.51604923,2.288665707,61.10252548,72.79348202,74.00634071,73.62584347,446.7046257,39.86519277,18.69473818,9.886416439,-162.3412789,60.09124058,80.10217227,85.26511972,669.123237,-5.18580474,5.716165785,2026.517985,116.4744714,96.2782,60.74993505,88.99995463,107.0601493,110.2691313,37.30639219,-7.110133705,-18.43643221,124.5587458,183.7280744,196.6420566,3187.058775,8.54071581,30.07280882,37.0945826,27.95985584,85.9782599,99.8965297,961.5411367,8.979426566,22.41095797,21.41047876
5/29/25,262,r,5.91,48.01621519,-9.742918198,8.337826278,15.33611999,44.60096586,42.03057111,45.94644707,573.2221429,10.263,88.0912355,94.94193761,95.45263181,77.054,42.207,41.816,33.096,-41.271,-39.727,-62.505,0.485,-7.132,42.04050575,3.846432154,42.8015636,60.87985156,87.04471376,86.41474237,661.7672727,42.60374802,8.298602428,3.338793746,-536.5370493,30.0501351,90.1439003,92.71352983,643.4695262,-5.433860578,5.564942996,2101.891557,121.2131277,61.98853247,35.29110543,94.22350658,100.7834319,102.2865755,44.5727544,15.9246524,6.620097271,13.7217959,197.9103899,209.310162,4985.009036,-1.590692517,48.71222087,54.65226105,-13.51603417,107.9283266,114.6317117,1257.749159,1.086464416,26.13823283,26.56892394
