Column,Description,Units
date,The date on which the pitch was thrown,
pitcher_id,A unique identifier for the pitcher,
pitcher_handedness,The handedness (l or r) of the pitcher,
velocity,The pitch's velocity,mph
player_height,The player's height,ft
arm_slot,The pitcher's arm slot on the pitch,deg
back_hip_flexion_at_foot_plant,The flexion angle of the pitcher's back hip at the instant of foot plant,deg
back_hip_flexion_at_mer,The flexion angle of the pitcher's back hip at the instant of throw shoulder maximum external rotation,deg
back_hip_flexion_at_ball_release,The flexion angle of the pitcher's back hip at the instant the pitch is released,deg
back_knee_flexion_at_foot_plant,The flexion angle of the pitcher's back knee at the instant of foot plant,deg
back_knee_flexion_at_mer,The flexion angle of the pitcher's back knee at the instant of throw shoulder maximum external rotation,deg
back_knee_flexion_at_ball_release,The flexion angle of the pitcher's back knee at the instant the pitch is released,deg
back_leg_external_rotation_velo_max,The maximum external rotation angular velocity of the pitcher's back leg during the delivery,deg/s
center_of_mass_velo_max,The maximum linear velocity of the pitcher's center of mass during the delivery,ft/s
glove_elbow_flexion_at_foot_plant,The flexion angle of the pitcher's glove elbow at the instant of foot plant,deg
glove_elbow_flexion_at_mer,The flexion angle of the pitcher's glove elbow at the instant of throw shoulder maximum external rotation,deg
glove_elbow_flexion_at_ball_release,The flexion angle of the pitcher's glove elbow at the instant the pitch is released,deg
glove_shoulder_abduction_at_foot_plant,The abduction angle of the pitcher's glove shoulder at the instant of foot plant,deg
glove_shoulder_abduction_at_mer,The abduction angle of the pitcher's glove shoulder at the instant of throw shoulder maximum external rotation,deg
glove_shoulder_abduction_at_ball_release,The abduction angle of the pitcher's glove shoulder at the instant the pitch is released,deg
glove_shoulder_horizontal_abduction_at_foot_plant,The horizontal abduction angle of the pitcher's glove shoulder at the instant of foot plant,deg
glove_shoulder_horizontal_abduction_at_mer,The horizontal abduction angle of the pitcher's glove shoulder at the instant of throw shoulder maximum external rotation,deg
glove_shoulder_horizontal_abduction_at_ball_release,The horizontal abduction angle of the pitcher's glove shoulder at the instant the pitch is released,deg
glove_shoulder_external_rotation_at_foot_plant,The external rotation angle of the pitcher's glove shoulder at the instant of foot plant,deg
glove_shoulder_external_rotation_at_mer,The external rotation angle of the pitcher's glove shoulder at the instant of throw shoulder maximum external rotation,deg
