date,pitcher_id,pitcher_handedness,velocity,player_height,arm_slot,back_hip_flexion_at_foot_plant,back_hip_flexion_at_mer,back_hip_flexion_at_ball_release,back_knee_flexion_at_foot_plant,back_knee_flexion_at_mer,back_knee_flexion_at_ball_release,back_leg_external_rotation_velo_max,center_of_mass_velo_max,glove_elbow_flexion_at_foot_plant,glove_elbow_flexion_at_mer,glove_elbow_flexion_at_ball_release,glove_shoulder_abduction_at_foot_plant,glove_shoulder_abduction_at_mer,glove_shoulder_abduction_at_ball_release,glove_shoulder_horizontal_abduction_at_foot_plant,glove_shoulder_horizontal_abduction_at_mer,glove_shoulder_horizontal_abduction_at_ball_release,glove_shoulder_external_rotation_at_foot_plant,glove_shoulder_external_rotation_at_mer,glove_shoulder_external_rotation_at_ball_release,hip_shoulder_separation_at_foot_plant,hip_shoulder_separation_at_ball_release,hip_shoulder_separation_max,lead_hip_flexion_at_foot_plant,lead_hip_flexion_at_mer,lead_hip_flexion_at_ball_release,lead_knee_extension_velo_max,lead_knee_flexion_at_foot_plant,lead_knee_flexion_at_mer,lead_knee_flexion_at_ball_release,lead_leg_internal_rotation_velo_max,pelvis_rotation_at_foot_plant,pelvis_rotation_at_mer,pelvis_rotation_at_ball_release,pelvis_rotation_velo_max,stride_angle,stride_length,throw_elbow_extension_velo_max,throw_elbow_flexion_at_foot_plant,throw_elbow_flexion_at_mer,throw_elbow_flexion_at_ball_release,throw_shoulder_abduction_at_foot_plant,throw_shoulder_abduction_at_mer,throw_shoulder_abduction_at_ball_release,throw_shoulder_horizontal_abduction_at_foot_plant,throw_shoulder_horizontal_abduction_at_mer,throw_shoulder_horizontal_abduction_at_ball_release,throw_shoulder_external_rotation_at_foot_plant,throw_shoulder_external_rotation_at_ball_release,throw_shoulder_external_rotation_max,throw_shoulder_internal_rotation_velo_max,torso_forward_bend_at_foot_plant,torso_forward_bend_at_mer,torso_forward_bend_at_ball_release,torso_rotation_at_foot_plant,torso_rotation_at_mer,torso_rotation_at_ball_release,torso_rotation_velo_max,torso_sidebend_at_foot_plant,torso_sidebend_at_mer,torso_sidebend_at_ball_release
5/13/25,92,r,89.53185757,6.02,18.95897881,8.737091327,0.236525173,8.609189677,37.15358423,54.84271366,61.71091445,403.5285474,9.282,55.77680468,119.6736737,120.3905885,91.743,45.033,47.914,14.41,-28.113,-41.323,-18.092,32.148,28.661,33.63663345,6.027350881,38.26940444,56.18789224,72.31431331,70.09885226,778.1171319,32.56385741,29.13935447,15.04966443,-59.59435575,27.24204006,79.84873673,82.33755288,486.3411386,-3.978062934,5.016753848,1780.233023,112.7487431,74.21767467,42.35637393,92.89609775,94.15415311,95.53798455,49.32074678,-11.94768105,-21.04203634,22.80938676,179.2072211,193.1417577,1946.8003,14.57711281,27.43646691,33.64712944,-7.732481281,78.11320086,91.45453353,858.6736593,-5.739232777,13.71588538,16.10716596
7/20/24,120,r,87.435563,6.1,-2.57,13.148,4.539,4.945,26.854,25.956,26.063,871.5,10.2130003,88.9,96.756,96.569,82.65899658,41.16799927,41.29199982,61.4090004,-42.44200134,-43.40599823,-63.54899979,14.02600002,14.82400036,40.43,-7.381,41.783,63.563,82.335,82.416,358.796,35.267,34.01,33.684,-192.285,22.872,83.002,83.253,707.745,-9.527,5.575,1950.481,103.801,65.148,63.161,88.426,90.372,90.146,41.718,-12.418,-12.688,23.215,231.458,230.619,3698.317,11.007,40.745,41.033,-16.753,101.397,102.22,983.591,9.5,8.859,8.816
7/20/24,120,r,87.996848,6.06,1.513,24.538,7.823,13.244,28.025,31.434,33.775,783.26,10.31000042,79.945,99.684,98.313,84.47499847,41.28300095,41.86600113,54.40000153,-41.20600128,-48.48199844,-61.29899979,17.92200089,24.22800064,42.367,-9.946,46.28,61.729,82.164,82.703,360.413,36.665,34.32,29.489,-161.501,15.603,83.479,86.419,678.978,-9.212,5.509,1901.485,96.234,57.15,31.097,88.353,90.046,90.17,35.09,-11.31,-17.939,9.854,200.394,212.792,4074.56,10.7,42.961,46.599,-25.497,101.57,110.415,971.253,11.447,10.8,9.909
5/13/24,21,r,91.713851,5.89,22.729,-5.262,-10.908,-7.531,47.001,30.38,29.091,680.025,9.630000114,61.507,61.324,62.331,54.56000137,46.87099838,47.48300171,55.15499878,-35.14300156,-40.97700119,-22.28100014,30.86800003,34.15399933,25.499,-23.243,28.4,71.91,87.044,87.448,361.206,56.283,45.003,41.298,-182.836,31.176,73.767,76.181,665.802,-5.795,5.063,2101.541,108.486,63.495,40.585,91.209,89.463,90.416,15.904,-13.975,-18.121,106.406,187.505,193.988,3862.519,-0.602,33.049,38.048,5.581,102.472,111.202,1127.663,3.483,25.014,24.635
5/13/25,92,r,90.0532366,6.01,17.91169426,8.447727334,-0.945705149,7.022656057,38.9309538,48.66484055,54.84759852,422.8832492,9.322,51.27352178,119.2255581,118.7944073,91.483,44.62,45.797,19.349,-27.328,-39.599,-19.12,20.975,21.182,40.06907724,6.795743647,44.80954193,55.26418321,72.01959546,69.47327175,779.5880296,31.39193801,27.30337005,13.7724973,-64.8054261,28.99142698,81.54867966,82.94826971,503.4751191,-4.425376124,5.002000515,1776.949549,112.4316327,67.06162715,36.14686365,92.7278634,94.82338961,96.70920553,42.58478379,-13.30745292,-21.30198917,21.40947973,184.1630177,192.2623579,3448.246707,13.70416673,28.84341169,34.92805145,-12.03234694,79.67208466,91.16005259,836.5509414,-3.702296679,14.54083425,16.43975839
6/7/24,128,r,92.174595,6.09,13.331,-13.289,5.567,15.337,36.714,59.92,64.932,713.867,11.28800011,69.715,87.115,88.445,51.7140007,45.8219986,53.48600006,48.93299866,-21.43199921,-39.18500137,-64.6969986,-12.58600044,-4.249000072,14.31,-28.914,14.412,63.828,84.064,87.305,231.139,42.319,31.878,27.537,-245.217,33.913,71.083,76.22,833.55,-0.064,5.952,1831.999,102.97,84.924,51.616,80.529,83.617,77.461,36.671,1.346,4.338,71.211,168.538,195.111,3857.683,3.412,32.837,39.164,19.649,92.865,113.906,1196.888,6.989,10.079,8.023
7/20/24,182,r,91.144684,5.81,13.628,-18.866,-10.459,-3.49,40.501,37.063,36.898,462.529,8.968999863,100.791,104.104,104.802,64.58799744,29.41399956,28.77499962,35.46500015,-43.19599915,-51.38100052,-25.24099922,27.28000069,24.80999947,39.183,-27.057,41.828,54.294,79.849,82.89,157.49,49.211,40.75,36.833,-211.35,39.793,77.87,81.327,686.69,-3.411,5.065,1390.523,70.12,51.317,21.86,80.683,101.773,98.789,40.064,-20.29,-28.467,63.615,146.752,185.167,3759.909,-4.735,29.591,37.315,0.368,105.911,119.646,880.843,-9.496,24.161,19.828
7/3/25,226,l,91.72560064,6,53.96311541,-16.35106535,-12.76175349,-1.470000867,31.49255729,41.24334466,47.20331154,715.8467651,11.037,93.8422887,90.26571484,84.81570202,62.435,41.877,40.445,65.187,-30.047,-52.304,-55.88,8.552,25.975,24.92753626,-1.410724743,27.40827013,55.09009396,94.54202937,97.6965601,326.3993991,53.93675239,64.82535126,60.65609611,-248.3116791,26.34565679,73.71179375,79.18607252,522.8459191,0.664922933,5.911979478,2073.795603,113.9035175,66.74534068,28.58889289,78.96892321,101.7282454,103.5199129,38.52947496,-2.915494935,-8.907726808,81.75943796,178.1751361,203.2300277,5393.247487,-6.459675871,26.92385144,41.25399304,1.404777256,86.68056156,105.5830086,1173.596913,-4.608231025,43.78443286,43.63307635
5/13/25,33,r,94.35220173,6.22,17.8071138,-4.871051481,-3.614209066,4.442668021,32.99293212,46.45114214,50.4443362,576.8189062,11.013,52.40214738,81.47776318,83.25352116,62.055,39.709,42.427,51.383,-51.969,-59.665,-64.785,36.401,41.098,47.55004153,-9.814943938,47.71429492,60.64567989,93.24655176,95.87556488,415.8125707,46.33106835,55.09990146,51.09465364,-345.1623973,24.63169814,71.11432084,74.62455879,514.8623538,-5.270472379,5.765804817,1782.015914,117.745267,66.37269035,40.33553516,83.84378203,103.6576562,105.4796127,41.63206997,-23.28190271,-29.14546105,37.02094341,185.9883802,193.01092,3791.720099,5.782257619,31.20020097,36.81864158,-22.84257883,87.37757296,96.73300943,947.8219211,-9.448714574,13.57897346,13.48464587
7/3/25,226,l,89.91793298,6.01,48.56347222,-22.75677643,-16.15571211,-6.204905188,29.17147124,40.61301119,45.37492509,770.0698108,10.602,90.55045082,89.55988405,83.16333956,68.129,45.081,42.5,66.213,-22.747,-42.764,-51.734,11.212,30.951,30.37312026,-6.477263182,30.80053302,52.92166999,94.54902587,96.59086808,322.5582728,56.12759998,73.57313396,70.12643741,-219.8741118,26.43396155,75.57121314,79.51108509,501.3065846,-0.476121358,5.675030303,1918.33358,111.9168608,60.15590756,25.05178246,74.40569897,92.6109699,94.94110948,40.42593287,-3.206798043,-13.58839857,61.30964633,170.5612924,197.738164,5116.616496,-4.333771895,27.37266149,41.45106475,-4.090793985,93.26601955,113.1034533,1186.290755,-7.285449508,48.81970136,47.47778862
5/13/24,21,r,92.164972,5.88,28.582,18.418,-15.356,-12.442,59.429,26.545,25.309,884.44,9.805999756,53.457,47.703,46.94,57.38999939,50.79399872,52.83800125,48.76499939,-34.1570015,-42.48699951,-22.97400093,28.93700027,33.54000092,30.695,-22.921,30.72,67.256,86.495,86.792,447.617,58.649,53.859,50.739,-323.37,16.969,69.366,71.403,637.043,-5.36,5.051,2051.763,101.25,64.847,44.434,90.29,90.229,91.548,12.501,-16.343,-19.427,93.211,189.798,194.201,3731.698,0.596,31.2,36.474,-13.506,97.939,106.32,1117.637,-3.849,29.315,29.52
7/3/25,226,l,89.79535688,5.99,49.91266458,-15.99227845,-14.77459306,-3.271464687,30.86775793,39.6200452,44.78915956,680.8031764,10.725,89.88335839,90.95478563,85.63924583,66.208,42.357,38.499,69.202,-15.395,-37.476,-51.915,2.588,27.441,28.21577404,-1.492952489,28.60661369,53.11942537,92.23149198,95.59628872,389.5230042,56.35442771,70.09100773,65.21916393,-219.1341569,25.38923889,73.01432886,78.82355123,460.8912893,1.250852854,5.705539035,2014.231572,109.7034876,60.95165292,22.57707101,77.30348533,98.57477544,99.82399646,41.38018044,-5.206937149,-12.21307826,63.41586499,168.6970018,199.1021248,5627.601889,-4.493453014,26.21826121,40.47917846,-2.506796325,87.82521806,107.033411,1101.734505,-7.566777938,45.79971035,45.23776941
6/3/24,234,r,93.785357,5.7,36.625,-10.263,1.116,5.412,53.263,63.931,66.028,455.954,9.647999763,81.163,78.313,83.326,56.70100021,37.47299957,41.02700043,43.06700134,-14.77499962,-22.17499924,-35.70500183,8.550000191,14.58600044,40.685,-8.765,52.217,81.058,100.883,103.521,254.201,60.506,64.554,63.148,56.011,45.81,69.913,74.47,656.715,-4.553,5.159,2149.828,107.778,56.953,29.605,75.618,94.438,94.221,22.396,-12.67,-14.885,85.555,179.279,193.901,4774.376,-5.962,28.675,38.016,5.027,88.521,102.34,1071.496,-0.797,34.726,36.679
5/13/25,92,r,92.04703866,6.01,16.52221294,2.372323979,-3.024637432,3.392402356,35.84768425,48.87485532,53.41283908,358.2874616,8.922,65.84994666,110.8506238,111.7819345,92.086,42.786,42.878,29.075,-31.616,-39.411,-16.031,34.753,33.935,37.34357614,0.688132056,39.55391162,50.79724304,66.83755458,65.20924212,551.4636165,31.37846367,25.72135443,15.96928318,58.07482097,29.82257929,80.95302948,82.8886831,475.5365419,-3.671030078,5.039836291,1716.715903,110.9478424,67.82928794,38.07086593,95.62886367,97.32567059,98.56606332,54.47203313,-10.32099695,-21.21356398,34.69126697,184.212589,196.0661207,2447.45072,10.77036651,26.39365786,31.56687548,-8.471020119,82.60184486,94.71159282,825.1481231,-7.017278451,10.39731639,12.78804723
7/20/24,31,r,92.42317,5.74,31.179,-19.077,-18.48,-11.804,52.673,44.593,44.463,348.057,9.00399971,75.166,82.612,82.262,55.89599991,37.7879982,39.2480011,49.87900162,4.873000145,-14.99199963,-47.15299988,-10.32499981,-0.127000004,29.862,-9.889,36.452,72.542,87.007,91.734,319.458,55.517,62.817,62.526,-73.248,41.92,72.088,83.586,869.923,-14.195,4.999,1986.57,94.192,72.604,28.761,68.645,79.532,83.177,33.138,-6.509,-9.508,64.314,140.639,169.41,3532.957,-8.063,15.102,29.058,11.011,79.528,105.715,1084.937,4.271,29.715,32.403
6/3/24,234,r,91.724389,5.76,35.206,-0.606,3.811,7.561,54.549,67.296,69.659,514.739,9.463000298,71.472,88.104,92.926,60.14199829,38.7820015,41.66799927,33.42499924,-12.32499981,-21.5890007,-31.99399948,12.90999985,15.24699974,45.868,-6.31,47.211,82.576,99.037,99.934,409.137,63.978,65.978,63.855,56.419,36.972,71.421,75.619,724.693,-5.263,5.083,2141.475,105.45,55.472,30.262,78.396,87.486,87.39,26.052,-15.289,-17.493,69.733,182.574,192.501,4575.92,-1.538,28.227,36.996,-8.84,88.808,103.224,1209.815,-7.326,38.998,40.68
7/20/24,182,r,91.211632,5.99,33.848,-1.67,-11.219,-8.967,45.046,38.814,39.405,631.493,9.05700016,87.417,102.123,102.521,67.67099762,34.03499985,33.59600067,39.32400131,-43.39699936,-45.84400177,-21.27199936,29.68600082,30.6609993,38.608,-22.629,38.753,52.038,82.28,82.949,339.887,55.137,51.199,49.284,-291.898,25.446,75.197,76.522,638.611,-3.831,4.933,1643.672,69.606,57.1,45.647,83.416,100.198,100.678,32.423,-15.974,-18.924,39.165,184.925,186.78,3585.421,-0.324,29.743,32.508,-14.15,105.882,110.595,955.771,-12.906,25.489,24.742
5/14/25,99,r,95.33266305,5.73,40.69316937,-28.94980963,-11.91088973,-3.617312948,44.74475999,54.04556115,57.52273265,535.1250425,11.007,102.5412315,103.9128441,106.0121005,48.34,41.081,38.718,37.68,-23.733,-30.865,-28.475,15.254,21.633,20.80124142,4.620250577,22.55786579,60.43308638,88.6428511,93.54892698,301.4568708,51.79142481,51.89336387,49.69639009,-91.97418442,43.45635035,80.95091411,86.96699368,573.4661101,-4.14659146,5.524577803,2238.358809,113.6076069,62.71091707,32.25993941,81.14448318,93.11153008,96.14039628,29.7716415,-6.642284913,-11.9867052,86.59289737,162.3666319,178.1909689,4236.233553,-8.344577035,20.91377985,28.6788826,21.98543421,88.33706744,97.57965612,1033.471969,-0.234372292,31.61158798,32.69104757
5/14/25,251,r,94.08248513,6.14,25.85906087,-12.0294684,1.641051231,5.919618684,44.76058396,49.51017252,51.01425089,429.0946152,10.152,88.87617051,106.4919889,108.5912103,71.508,38.415,38.47,31.133,-27.173,-30.417,-45.305,12.025,14.92,38.83781641,6.475785761,38.83781641,64.28430667,112.263251,114.6516489,29.75138262,48.86148743,73.54910525,73.47527398,-182.3750991,35.17843099,90.94410554,93.55556141,477.7293136,-3.929768863,5.537797133,1703.99985,86.2167091,41.20689889,28.37442249,103.6912248,88.71990881,91.28115602,63.93398449,-9.538823177,-12.84042626,68.69698316,202.5025196,206.7572258,4894.449012,-0.794288014,38.8126163,42.50099306,-3.583211341,102.3654985,107.8735436,1050.266969,-2.162518372,29.47829826,28.44394357
8/13/25,141,r,91.87879545,5.92,35.82070081,-13.71955653,2.504480266,8.857303299,44.15770316,70.04659272,73.6223641,587.4644608,10.861,61.45449275,80.84057834,84.88187849,51.555,48.049,47.232,20.321,-20.852,-25.049,-12.754,18.685,24.897,18.60700117,0.658801709,27.71015924,66.95377465,88.7929165,91.62307041,150.3401807,51.47891848,54.84863115,53.93599441,-152.3313192,38.37690118,74.04485988,78.89729478,590.7582315,-0.077121119,5.462685314,1609.443376,117.6617879,51.0269001,31.02103487,80.98432082,98.38178682,99.6059256,6.924363737,-22.59347163,-27.03376475,100.3356728,169.9776515,178.8427201,3913.20272,-3.763775547,20.3198108,26.95887922,19.48510829,79.86682957,89.65437605,951.8317194,8.064741001,31.31843271,32.07904784
5/13/24,176,l,80.391297,6.03,40.125,-28.746,-19.497,-16.559,35.803,43.234,45.272,262.942,7.78399992,67.873,60.233,56.912,77.11799622,50.60300064,51.01200104,32.20899963,-15.8409996,-22.60899925,8.729000092,42.30699921,43.58599854,16.441,-18.544,21.888,57.035,74.094,75.99,247.317,56.693,65.805,64.151,-77.007,41.678,67.038,72.605,405.163,-1.544,5.189,1827.527,95.751,70.224,45.689,99.772,93.731,93.569,33.774,-19.105,-21.247,55.883,152.751,158.123,3543.218,-2.06,11.342,15.731,24.957,85.672,96.094,747.236,-8.308,24.761,27.416
6/7/24,128,r,90.518347,6.03,12.891,-10.361,7.24,16.883,35.097,53.552,57.082,639.146,11.52900028,62.946,75.794,76.285,54.46900177,49.20399857,55.87900162,44.9679985,-30.44799995,-45.48600006,-57.25400162,-2.767999887,-1.409000039,13.498,-37.766,23.735,68.736,96.71,99.777,333.407,56.678,53.031,49.637,-402.533,24.981,65.767,69.254,643.665,0.268,5.825,1602.038,101.014,71.921,39.477,84.206,86.076,83.334,47.805,0.119,-1.87,57.143,187.488,202.292,2687.394,3.573,40.77,46.701,12.236,100.121,119.288,1160.077,11.688,13.04,9.256
6/3/24,224,r,92.617832,6.13,41.351,-13.945,1.263,5.571,49.345,49.689,50.657,203.434,9.069999695,85.264,78.979,79.392,51.13499832,36.4640007,38.43399811,48.34600067,-25.74300003,-32.88199997,-45.95899963,-7.122000217,-1.375,39.248,-14.649,47.846,61.548,74.523,75.035,343.112,43.607,31.92,27.803,-77.56,50.793,83.627,85.776,693.93,-7.78,5.053,2011.621,99.596,61.338,35.603,75.03,91.091,90.302,28.126,-5.532,-7.937,86.181,172.277,181.24,4198.701,-11.991,29.654,38.156,11.148,104.407,117.512,1199.776,3.759,36.088,35.492
5/13/24,21,r,92.582621,5.84,28.926,-5.111,-10.278,-8.666,55.572,32.719,32.366,766.486,9.82199955,66.892,74.951,76.02,53.02700043,40.07500076,40.82600021,63.3219986,-31.05599976,-34.88899994,-25.88999939,31.7140007,34.30500031,33.844,-15.452,35.666,71.773,89.887,90.237,313.509,56.358,51.335,50.202,-169.846,34.928,79.827,81.01,640.587,-3.959,5.166,2125.798,108.935,59.583,49.013,90.438,89.905,90.099,16.068,-18.887,-20.346,107.97,188.087,189.216,3295.745,-4.505,32.616,35.228,0.967,103.397,107.637,1131.836,0.292,29.647,29.568
5/13/24,21,r,93.165415,5.84,31.981,-12.925,-10.604,-7.765,51.052,25.897,25.277,618.714,10.50800037,60.468,65.604,66.621,51.34600067,45.06700134,46.55500031,57.84700012,-31.74600029,-38.9070015,-21.5359993,35.3769989,39.33499908,34.934,-12.286,38.444,76.348,93.468,94.07,446.591,61.491,52.192,49.549,-69.97,41.935,80.024,81.88,659.581,-0.671,5.163,2258.376,110.772,62.02,44.037,89.269,93.081,93.979,17.389,-16.207,-18.465,117.634,190.008,193.513,3841.9,-5.762,36.712,41.309,6.516,102.609,109.387,1148.411,3.042,31.421,30.918
